country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Punjab,Bathinda,"Hardev Nagar, Bathinda - PPCB",6/3/2025 15:00,30.233011,74.907758,PM2.5,13,77,34
India,Punjab,Jalandhar,"Civil Line, Jalandhar - PPCB",6/3/2025 15:00,31.321907,75.578914,NO2,20,26,24
India,Punjab,Jalandhar,"Civil Line, Jalandhar - PPCB",6/3/2025 15:00,31.321907,75.578914,OZONE,6,81,21
India,Odisha,Suakati,"OMC Colony, Suakati - OSPCB",6/3/2025 15:00,21.606865,85.510538,NO2,12,27,16
India,Odisha,Talcher,"Talcher Coalfields,Talcher - OSPCB",6/3/2025 15:00,20.9360711,85.1707021,NO2,24,38,32
India,Odisha,Talcher,"Talcher Coalfields,Talcher - OSPCB",6/3/2025 15:00,20.9360711,85.1707021,OZONE,14,79,41
India,Mizoram,Aizawl,"Sikulpuikawn, Aizawl - Mizoram PCB",6/3/2025 15:00,23.7176342,92.7192841,OZONE,2,10,5
India,Nagaland,Kohima,"PWD Juction, Kohima - NPCB",6/3/2025 15:00,25.6635413,94.0989878,NO2,3,8,4
India,Odisha,Rourkela,"Sector-2, Rourkela - OSPCB",6/3/2025 15:00,22.245,84.88111111,PM2.5,NA,NA,NA
India,Odisha,Rourkela,"Sector-2, Rourkela - OSPCB",6/3/2025 15:00,22.245,84.88111111,PM10,NA,NA,NA
India,Odisha,Nayagarh,"Dabuna, Nayagarh - OSPCB",6/3/2025 15:00,21.847279,85.416905,CO,10,27,22
India,Odisha,Angul,"Hakimapada, Angul - OSPCB",6/3/2025 15:00,20.832874,85.104082,SO2,7,25,14
India,Rajasthan,Jhalawar,"Rajlaxmi Nagar, Jhalawar - RSPCB",6/3/2025 15:00,24.588397,76.172782,PM2.5,3,113,46
India,Rajasthan,Jhalawar,"Rajlaxmi Nagar, Jhalawar - RSPCB",6/3/2025 15:00,24.588397,76.172782,SO2,4,9,6
India,Rajasthan,Jhunjhunu,"Indra Nagar, Jhunjhunu - RSPCB",6/3/2025 15:00,28.108988,75.386577,PM10,49,318,114
India,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",6/3/2025 15:00,26.268249,73.0193853,NO2,2,36,23
India,Rajasthan,Jodhpur,"Digari Kalan, Jodhpur - RSPCB",6/3/2025 15:00,26.29581,73.082283,NO2,NA,NA,NA
India,Rajasthan,Jodhpur,"Digari Kalan, Jodhpur - RSPCB",6/3/2025 15:00,26.29581,73.082283,CO,NA,NA,NA
India,Rajasthan,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",6/3/2025 15:00,26.902909,75.836858,PM10,14,141,103
India,Rajasthan,Jaipur,"Mansarovar Sector-12, Jaipur - RSPCB",6/3/2025 15:00,26.843698,75.766894,CO,13,40,23
India,Rajasthan,Jaipur,"Mansarovar Sector-12, Jaipur - RSPCB",6/3/2025 15:00,26.843698,75.766894,OZONE,32,104,73
India,Rajasthan,Jaipur,"RIICO Sitapura, Jaipur - RSPCB",6/3/2025 15:00,26.786682,75.827928,PM2.5,10,303,57
India,Rajasthan,Jaipur,"RIICO Sitapura, Jaipur - RSPCB",6/3/2025 15:00,26.786682,75.827928,SO2,3,16,7
India,Rajasthan,Jaipur,"RIICO Sitapura, Jaipur - RSPCB",6/3/2025 15:00,26.786682,75.827928,CO,14,84,37
India,Rajasthan,Barmer,"Railway Colony, Barmer - RSPCB",6/3/2025 15:00,25.747299,71.393989,SO2,4,14,7
India,Rajasthan,Bharatpur,"Krishna Nagar, Bharatpur - RSPCB",6/3/2025 15:00,27.215415,77.50873,NH3,1,5,3
India,Rajasthan,Bhilwara,"Pratap Nagar, Bhilwara - RSPCB",6/3/2025 15:00,25.339605,74.618883,OZONE,10,73,42
India,Rajasthan,Bhiwadi,"RIICO Ind. Area III, Bhiwadi - RSPCB",6/3/2025 15:00,28.194909,76.862296,PM10,84,144,109
India,Rajasthan,Alwar,"Moti Doongri, Alwar - RSPCB",6/3/2025 15:00,27.554793,76.611536,SO2,6,51,16
India,Rajasthan,Banswara,"Rati Talai, Banswara - RSPCB",6/3/2025 15:00,23.55519,74.44001,OZONE,10,125,75
India,Rajasthan,Barmer,"Railway Colony, Barmer - RSPCB",6/3/2025 15:00,25.747299,71.393989,PM2.5,7,305,50
India,Rajasthan,Barmer,"Railway Colony, Barmer - RSPCB",6/3/2025 15:00,25.747299,71.393989,PM10,26,383,121
India,Rajasthan,Dholpur,"Raja Ganj, Dholpur - RSPCB",6/3/2025 15:00,26.699557,77.898881,PM2.5,4,48,23
India,Rajasthan,Dholpur,"Raja Ganj, Dholpur - RSPCB",6/3/2025 15:00,26.699557,77.898881,SO2,2,7,4
India,Rajasthan,Dholpur,"Raja Ganj, Dholpur - RSPCB",6/3/2025 15:00,26.699557,77.898881,CO,16,32,22
India,Rajasthan,Dungarpur,"Bhoiwada, Dungarpur - RSPCB",6/3/2025 15:00,23.837789,73.714926,PM2.5,39,110,64
India,Rajasthan,Jaipur,"Sector-2 Murlipura, Jaipur - RSPCB",6/3/2025 15:00,26.960669,75.771817,PM2.5,NA,NA,NA
India,Rajasthan,Jaipur,"Sector-2 Murlipura, Jaipur - RSPCB",6/3/2025 15:00,26.960669,75.771817,CO,NA,NA,NA
India,Rajasthan,Jaisalmer,"Sadar Bazar, Jaisalmer - RSPCB",6/3/2025 15:00,26.912329,70.909168,NH3,6,11,8
India,Punjab,Ludhiana,"Punjab Agricultural University, Ludhiana - PPCB",6/3/2025 15:00,30.9028,75.8086,PM2.5,46,180,90
India,Punjab,Patiala,"Model Town, Patiala - PPCB",6/3/2025 15:00,30.349388,76.366642,OZONE,19,80,41
India,Rajasthan,Bhiwadi,"Vasundhara Nagar_UIT, Bhiwadi - RSPCB",6/3/2025 15:00,28.207266,76.829265,SO2,6,29,13
India,Rajasthan,Bikaner,"MM Ground, Bikaner - RSPCB",6/3/2025 15:00,28.018792,73.292658,CO,30,71,38
India,Rajasthan,Churu,"Subash Chowk, Churu - RSPCB",6/3/2025 15:00,28.296139,74.961696,PM2.5,3,72,26
India,Rajasthan,Churu,"Subash Chowk, Churu - RSPCB",6/3/2025 15:00,28.296139,74.961696,NO2,15,46,24
India,Rajasthan,Sawai Madhopur,"Sahu Nagar, Sawai Madhopur - RSPCB",6/3/2025 15:00,26.031443,76.359327,SO2,5,8,7
India,Rajasthan,Sikar,"Radhakishan Pura, Sikar - RSPCB",6/3/2025 15:00,27.608912,75.153302,PM10,67,408,142
India,Rajasthan,Sikar,"Radhakishan Pura, Sikar - RSPCB",6/3/2025 15:00,27.608912,75.153302,CO,14,40,25
India,Rajasthan,Sirohi,"Vedhaynath Colony, Sirohi - RSPCB",6/3/2025 15:00,24.885261,72.857549,PM10,37,129,67
India,Rajasthan,Sirohi,"Vedhaynath Colony, Sirohi - RSPCB",6/3/2025 15:00,24.885261,72.857549,NO2,6,110,37
India,Rajasthan,Sirohi,"Vedhaynath Colony, Sirohi - RSPCB",6/3/2025 15:00,24.885261,72.857549,NH3,1,4,2
India,Rajasthan,Sri Ganganagar,"Old City, Sri Ganganagar - RSPCB",6/3/2025 15:00,29.931624,73.864511,PM10,113,329,169
India,Rajasthan,Sri Ganganagar,"Old City, Sri Ganganagar - RSPCB",6/3/2025 15:00,29.931624,73.864511,NH3,11,13,12
India,Rajasthan,Sri Ganganagar,"Old City, Sri Ganganagar - RSPCB",6/3/2025 15:00,29.931624,73.864511,CO,12,40,34
India,Rajasthan,Sri Ganganagar,"Old City, Sri Ganganagar - RSPCB",6/3/2025 15:00,29.931624,73.864511,OZONE,56,100,85
India,Rajasthan,Tonk,"Shastri Nagar, Tonk - RSPCB",6/3/2025 15:00,26.159933,75.780517,NO2,15,46,22
India,Rajasthan,Tonk,"Shastri Nagar, Tonk - RSPCB",6/3/2025 15:00,26.159933,75.780517,CO,11,37,21
India,Rajasthan,Udaipur,"Ashok Nagar, Udaipur - RSPCB",6/3/2025 15:00,24.5886166,73.6321397,PM2.5,35,169,93
India,TamilNadu,Chengalpattu,"Crescent University, Chengalpattu - TNPCB",6/3/2025 15:00,12.8777316,80.0834807,PM2.5,33,81,59
India,TamilNadu,Chengalpattu,"Crescent University, Chengalpattu - TNPCB",6/3/2025 15:00,12.8777316,80.0834807,SO2,15,16,16
India,TamilNadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",6/3/2025 15:00,12.9099161,80.1076538,PM2.5,34,91,44
India,TamilNadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",6/3/2025 15:00,12.9099161,80.1076538,PM10,44,110,57
India,TamilNadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",6/3/2025 15:00,12.9099161,80.1076538,NO2,16,17,17
India,TamilNadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",6/3/2025 15:00,12.9099161,80.1076538,OZONE,27,140,66
India,TamilNadu,Chennai,"Arumbakkam, Chennai - TNPCB",6/3/2025 15:00,13.0664,80.2112,PM10,26,156,64
India,TamilNadu,Chennai,"Arumbakkam, Chennai - TNPCB",6/3/2025 15:00,13.0664,80.2112,SO2,3,30,9
India,TamilNadu,Chennai,"Kodungaiyur, Chennai - TNPCB",6/3/2025 15:00,13.1278,80.2642,PM10,1,1,1
India,TamilNadu,Chennai,"Manali Village, Chennai - TNPCB",6/3/2025 15:00,13.1662,80.2584,SO2,15,23,19
India,Rajasthan,Kota,"Shrinath Puram, Kota - RSPCB",6/3/2025 15:00,25.14389,75.821256,SO2,6,66,8
India,Rajasthan,Kota,"Shrinath Puram, Kota - RSPCB",6/3/2025 15:00,25.14389,75.821256,OZONE,19,40,35
India,Rajasthan,Nagaur,"Karni Colony, Nagaur - RSPCB",6/3/2025 15:00,27.213494,73.734444,CO,16,102,49
India,Rajasthan,Pratapgarh,"Pragati Nagar, Pratapgarh - RSPCB",6/3/2025 15:00,24.041198,74.780702,NO2,7,76,37
India,Rajasthan,Pratapgarh,"Pragati Nagar, Pratapgarh - RSPCB",6/3/2025 15:00,24.041198,74.780702,NH3,4,6,5
India,Rajasthan,Pratapgarh,"Pragati Nagar, Pratapgarh - RSPCB",6/3/2025 15:00,24.041198,74.780702,CO,8,38,20
India,Rajasthan,Pratapgarh,"Pragati Nagar, Pratapgarh - RSPCB",6/3/2025 15:00,24.041198,74.780702,OZONE,7,105,58
India,Rajasthan,Rajsamand,"Dhoinda, Rajsamand - RSPCB",6/3/2025 15:00,25.03636,73.883502,OZONE,33,105,72
India,Rajasthan,Sawai Madhopur,"Sahu Nagar, Sawai Madhopur - RSPCB",6/3/2025 15:00,26.031443,76.359327,PM2.5,8,55,27
India,Rajasthan,Jodhpur,"Jhalamand, Jodhpur - RSPCB",6/3/2025 15:00,26.215415,73.070156,NH3,2,23,10
India,Rajasthan,Jodhpur,"Mandor, Jodhpur - RSPCB",6/3/2025 15:00,26.358805,73.047444,SO2,2,108,14
India,Rajasthan,Kota,"Dhanmandi, Kota - RSPCB",6/3/2025 15:00,25.16409,75.858137,NO2,32,125,59
India,Rajasthan,Kota,"Dhanmandi, Kota - RSPCB",6/3/2025 15:00,25.16409,75.858137,OZONE,6,95,60
India,Rajasthan,Rajsamand,"Dhoinda, Rajsamand - RSPCB",6/3/2025 15:00,25.03636,73.883502,PM2.5,3,142,56
India,TamilNadu,Perundurai,"SIPCOT Industrial Park, Perundurai - TNPCB",6/3/2025 15:00,11.258242,77.552761,SO2,18,18,18
India,TamilNadu,Perundurai,"SIPCOT Industrial Park, Perundurai - TNPCB",6/3/2025 15:00,11.258242,77.552761,OZONE,10,21,11
India,TamilNadu,Pudukottai,"SIPCOT Nathampannai, Pudukottai - TNPCB",6/3/2025 15:00,10.423417,78.784889,PM2.5,22,97,45
India,TamilNadu,Ramanathapuram,"Chalai Bazaar, Ramanathapuram - TNPCB",6/3/2025 15:00,9.36399,78.831977,SO2,11,40,14
India,TamilNadu,Ranipet,"VOC Nagar_SIPCOT, Ranipet - TNPCB",6/3/2025 15:00,12.952707,79.30394,NH3,NA,NA,NA
India,TamilNadu,Ranipet,"VOC Nagar_SIPCOT, Ranipet - TNPCB",6/3/2025 15:00,12.952707,79.30394,CO,16,21,17
India,TamilNadu,Ranipet,"VOC Nagar_SIPCOT, Ranipet - TNPCB",6/3/2025 15:00,12.952707,79.30394,OZONE,1,1,1
India,TamilNadu,Salem,"Sona College of Technology, Salem - TNPCB",6/3/2025 15:00,11.679111,78.125052,NO2,NA,NA,NA
India,TamilNadu,Thanjavur,"Parisutham Nagar, Thanjavur - TNPCB",6/3/2025 15:00,10.7654824,79.1389968,PM2.5,33,93,51
India,TamilNadu,Thanjavur,"Parisutham Nagar, Thanjavur - TNPCB",6/3/2025 15:00,10.7654824,79.1389968,NO2,5,5,5
India,TamilNadu,Thanjavur,"Parisutham Nagar, Thanjavur - TNPCB",6/3/2025 15:00,10.7654824,79.1389968,NH3,2,2,2
India,TamilNadu,Thanjavur,"Parisutham Nagar, Thanjavur - TNPCB",6/3/2025 15:00,10.7654824,79.1389968,SO2,16,17,17
India,TamilNadu,Thanjavur,"Parisutham Nagar, Thanjavur - TNPCB",6/3/2025 15:00,10.7654824,79.1389968,CO,4,7,6
India,TamilNadu,Tiruchirappalli,"St Joseph College, Tiruchirappalli - TNPCB",6/3/2025 15:00,10.830158,78.691849,PM2.5,32,90,52
